Piedra Alta,0.3333,0.25
Difuntito,2.9381,1.65
Difuntos,0,0
Cinco cerros,2.9381,1.65
Volcan,26.72,9.31
La Chata,7.37,0.25
Barrosa,5.54,1.65
La Brava,0,2.66
Vigilancia,8.27,6.66
El Morro,0,0
La Paja,2.93,1.65
Amarante,2.93,0.25
